학번 이름 국어 영어 수학 사회 과학 평균 학점
001 이정원 80 93 89 40 70 74.4 3.8
002 홍석희 79 38 59 77 98 70.2 3.4
003 구민주 69 70 39 79 78 67.0 3.4
004 하연주 90 49 62 58 100 71.8 3.6
005 최유진 98 59 95 28 70 70.0 3.5
006 이세현 39 59 62 28 30 43.6 2.2
007 김유진 100 39 95 28 60 64.4 3.2
008 엄재은 96 48 83 92 79 79.6 3.7
009 이종범 42 67 25 67 86 57.4 2.9
010 최현진 45 67 93 74 87 73.2 3.5
011 이유원 27 87 45 72 86 63.4 3.2
012 이희원 54 34 67 27 58 48.0 2.3
013 이예지 26 100 26 73 85 62.0 2.9
014 석정원 25 73 27 58 58 48.2 2.2
015 유세연 74 86 25 100 53 67.6 3.1
016 한하영 63 86 25 58 84 63.2 3.2
017 윤세화 26 48 96 36 47 50.6 2.4
018 염은혜 78 86 98 46 89 79.4 3.8
019 구하영 78 47 72 75 89 72.2 3.5
020 이주학 69 70 96 97 72 80.8 3.9
021 김해든 97 96 92 98 100 96.6 4.4
022 최서은 84 52 63 73 25 59.4 2.7
023 장승연 49 69 85 20 69 58.4 2.8
024 이예솜 78 50 69 29 60 57.2 3.0
025 이민선 58 30 96 83 96 72.6 3.2
026 김수정 47 35 80 85 80 65.4 3.0
027 김화니 78 34 100 58 25 59.0 2.4
028 이하란 49 58 38 20 79 48.8 2.4
029 황지현 88 74 65 37 59 64.6 3.3
030 정근호 36 86 25 74 25 49.2 2.1
031 윤재선 25 47 85 26 68 50.2 2.1
032 최세라 63 100 75 67 58 72.6 3.5
033 황창준 52 15 36 74 96 54.6 2.7
034 최윤종 36 73 29 63 28 45.8 2.2
035 이동빈 48 79 74 27 69 59.4 3.0
036 김태희 87 90 89 93 97 91.2 4.3
037 김우림 89 63 100 64 57 74.6 3.5
038 김수진 52 74 25 74 62 57.4 3.0
039 이원호 63 72 63 26 60 56.8 2.8
040 차하람 73 83 25 46 37 52.8 2.7
041 이예인 89 69 49 38 70 63.0 3.5
042 권승희 89 49 60 73 56 65.4 3.2
043 정호연 56 36 73 26 78 53.8 2.5
044 김승민 56 73 85 36 46 59.2 2.9
045 신주찬 63 57 78 97 63 71.6 3.5
046 차학연 79 47 36 86 64 62.4 3.2
047 이주은 37 96 46 36 97 62.4 3.3
048 양세연 96 36 95 78 53 71.6 3.3
049 김현정 37 58 26 79 64 52.8 2.7
050 우기명 86 64 37 98 75 72.0 3.5
